pais,quantidade,valor,ano
Alemanha,56045.0,293800.0,30225
Angola,159035.0,922414.0,30225
Antigua e Barbuda,114.0,590.0,30225
Antilhas Holandesas,9324.0,67426.0,30225
Argentina,4657.0,18137.0,30225
Aruba,18.0,7.0,30225
Australia,4634.0,29020.0,30225
Bahamas,2325.0,14473.0,30225
Bangladesh,1.0,28.0,30225
Barbados,86.0,264.0,30225
Belgica,130685.0,625638.0,30225
Benin,24.0,181.0,30225
Bermudas,12.0,58.0,30225
Bolívia,74693.0,230655.0,30225
Bulgaria,0.0,0.0,30225
Bósnia-Herzegovina,178.0,214.0,30225
Cabo Verde,2.0,12.0,30225
Camarões,4228.0,16361.0,30225
Canada,20994.0,94368.0,30225
Catar,124.0,11117.0,30225
"Cayman, Ilhas",16.0,48.0,30225
Chile,63910.0,501523.0,30225
China,149816.0,522045.0,30225
Chipre,912.0,2668.0,30225
Cingapura,77346.0,268130.0,30225
Colombia,54691.0,184506.0,30225
"Coreia do Sul, Republica da",6597.0,28413.0,30225
Costa Rica,46.0,60.0,30225
Cuba,1.0,2.0,30225
Curaçao,16363.0,67318.0,30225
Dinamarca,8631.0,44100.0,30225
Dominica,798.0,1966.0,30225
El Salvador,21.0,20.0,30225
Emirados Árabes,520.0,4834.0,30225
Equador,137.0,503.0,30225
Espanha,12405.0,105040.0,30225
Estados Unidos,3417124.0,9384025.0,30225
Estonia,864.0,3742.0,30225
Falkland (Malvinas),360.0,2081.0,30225
Filipinas,101.0,498.0,30225
Filânldia,10958.0,63012.0,30225
França,53346.0,370787.0,30225
Gana,14193.0,65388.0,30225
Gibraltar,43.0,85.0,30225
Granada,1122.0,3050.0,30225
Grêcia,419.0,1517.0,30225
Guatemala,1700.0,9840.0,30225
Guiana,5594.0,26597.0,30225
Guiné Equatorial,7740.0,17472.0,30225
Guiné-Bissau,0.0,0.0,30225
Haiti,11199.0,23768.0,30225
Honduras,109.0,322.0,30225
Hong Kong,22899.0,94875.0,30225
Hungria,96.0,668.0,30225
Ilha de Man,2.0,20.0,30225
Iraque,0.0,0.0,30225
Irlanda,3538.0,31270.0,30225
Islândia,10.0,45.0,30225
Italia,8911.0,42406.0,30225
Japão,138987.0,537030.0,30225
Jordânia,30.0,103.0,30225
Letonia,158.0,2426.0,30225
Libéria,4512.0,15424.0,30225
Luxemburgo,6851.0,33416.0,30225
Líbano,1919.0,6848.0,30225
Maldivas,6244.0,23007.0,30225
Malta,2606.0,7290.0,30225
"Marshall, Ilhas",6056.0,15569.0,30225
Mexico,96065.0,26476.0,30225
Montenegro,9.0,24.0,30225
Nicarágua,59.0,60.0,30225
Nigéria,14667.0,62791.0,30225
Noruega,34720.0,182111.0,30225
Nova Zelandia,1185.0,6162.0,30225
Paises Baixos (Holanda),27978.0,144520.0,30225
Panama,15169.0,58969.0,30225
Paraguai,536104.0,1495346.0,30225
Peru,2173.0,8233.0,30225
Polonia,46671.0,152137.0,30225
Porto Rico,145.0,3248.0,30225
Portugal,9691.0,80043.0,30225
Quenia,181.0,1996.0,30225
Reino Unido,344660.0,1573174.0,30225
Republica Dominicana,0.0,0.0,30225
Republica Tcheca,1903.0,7618.0,30225
Russia,120409.0,50880.0,30225
Serra Leoa,900.0,4375.0,30225
Singapura,2146.0,8354.0,30225
Suecia,9324.0,38950.0,30225
Suiça,44321.0,257441.0,30225
Suriname,921.0,4312.0,30225
Tailandia,63.0,705.0,30225
Taiwan (Formosa),7369.0,33995.0,30225
Trinidade e Tobago,716.0,3275.0,30225
Turquia,100.0,380.0,30225
Uruguai,122188.0,536107.0,30225
Vanuatu,14.0,31.0,30225
Venezuela,2398.0,15009.0,30225
Vietnã,1024.0,2812.0,30225
Índia,43.0,146.0,30225
