,pais,quantidade,valor,ano,origem
0,Alemanha,5423.0,20928.0,2008,Brasil
1,Alemanha,6648.0,29018.0,2009,Brasil
2,Alemanha,1958.0,6877.0,2010,Brasil
3,Alemanha,1976.0,12018.0,2011,Brasil
4,Alemanha,833.0,5072.0,2012,Brasil
5,Alemanha,5809.0,30461.0,2013,Brasil
6,Alemanha,9236.0,62169.0,2014,Brasil
7,Alemanha,6256.0,30939.0,2015,Brasil
8,Alemanha,4293.0,19088.0,2016,Brasil
9,Alemanha,4824.0,28799.0,2017,Brasil
10,Alemanha,4092.0,21373.0,2018,Brasil
11,Alemanha,1003.0,5466.0,2019,Brasil
12,Alemanha,2388.0,14767.0,2020,Brasil
13,Alemanha,142.0,265.0,2021,Brasil
14,Alemanha,1164.0,6560.0,2022,Brasil
15,Angola,2244.0,10581.0,2008,Brasil
16,Angola,11393.0,33664.0,2009,Brasil
17,Angola,104138.0,672533.0,2010,Brasil
18,Angola,904.0,14196.0,2011,Brasil
19,Angola,73.0,1426.0,2012,Brasil
20,Angola,5850.0,21060.0,2013,Brasil
21,Angola,6866.0,22423.0,2014,Brasil
22,Angola,0.0,0.0,2015,Brasil
23,Angola,90.0,1010.0,2016,Brasil
24,Angola,0.0,0.0,2017,Brasil
25,Angola,63.0,280.0,2018,Brasil
26,Angola,1007.0,3615.0,2019,Brasil
27,Angola,24.0,38.0,2020,Brasil
28,Angola,0.0,0.0,2021,Brasil
29,Angola,26383.0,141588.0,2022,Brasil
30,Antigua e Barbuda,0.0,0.0,2008,Brasil
31,Antigua e Barbuda,0.0,0.0,2009,Brasil
32,Antigua e Barbuda,0.0,0.0,2010,Brasil
33,Antigua e Barbuda,0.0,0.0,2011,Brasil
34,Antigua e Barbuda,0.0,0.0,2012,Brasil
35,Antigua e Barbuda,0.0,0.0,2013,Brasil
36,Antigua e Barbuda,0.0,0.0,2014,Brasil
37,Antigua e Barbuda,0.0,0.0,2015,Brasil
38,Antigua e Barbuda,0.0,0.0,2016,Brasil
39,Antigua e Barbuda,0.0,0.0,2017,Brasil
40,Antigua e Barbuda,0.0,0.0,2018,Brasil
41,Antigua e Barbuda,7.0,34.0,2019,Brasil
42,Antigua e Barbuda,32.0,328.0,2020,Brasil
