pais,quantidade,valor,ano
Alemanha,38703.0,23467.0,30225
Angola,433140.0,419732.0,30225
Antilhas Holandesas,474.0,720.0,30225
Antígua e Barbuda,347.0,402.0,30225
Argentina,41579.0,240799.0,30225
Argélia,16.0,33.0,30225
Aruba,7336.0,5201.0,30225
Arábia Saudita,97520.0,248322.0,30225
Austrália,64038.0,115073.0,30225
Bahamas,2130.0,3396.0,30225
Bangladesh,48.0,68.0,30225
Barbados,4737.0,4851.0,30225
Barein,24.0,7.0,30225
Belize,45.0,333.0,30225
Benin,438.0,321.0,30225
Bermudas,24.0,27.0,30225
Birmânia,8.0,14.0,30225
Bolívia,106720.0,179468.0,30225
Bélgica,3378.0,7855.0,30225
Cabo Verde,1236.0,1432.0,30225
Camarões,1179.0,2470.0,30225
Canadá,74546.0,147272.0,30225
Catar,5.0,47.0,30225
"Cayman, Ilhas",396.0,445.0,30225
Chile,38772.0,54745.0,30225
China,2188705.0,3972271.0,30225
Chipre,889.0,1111.0,30225
Cingapura,7884.0,12538.0,30225
Colômbia,52438.0,155365.0,30225
Congo,0.0,0.0,30225
Coreia do Sul,145780.0,363052.0,30225
Costa Rica,5186.0,14051.0,30225
Costa do Marfim,0.0,0.0,30225
Coveite,10693.0,16446.0,30225
Cuba,0.0,0.0,30225
Curaçao,4938.0,8082.0,30225
Dinamarca,74688.0,185199.0,30225
"Dominica, Ilha de",383.0,368.0,30225
El Salvador,0.0,0.0,30225
Emirados Árabes Unidos,1944.0,2838.0,30225
Equador,28068.0,39391.0,30225
Espanha,960.0,3799.0,30225
Estados Unidos,2843234.0,5922163.0,30225
Falkland (Malvinas),50.0,66.0,30225
Filipinas,115141.0,214956.0,30225
Finlândia,45.0,89.0,30225
França,38.0,692.0,30225
Gana,38185.0,58266.0,30225
Gibraltar,156.0,293.0,30225
Granada,120.0,167.0,30225
Grêcia,684.0,679.0,30225
Guatemala,3456.0,5748.0,30225
Guiana,380.0,1135.0,30225
Guiana Francesa,486.0,520.0,30225
Guine Equatorial,325.0,1549.0,30225
Guiné Bissau,32.0,70.0,30225
Haiti,6369.0,6081.0,30225
Hong Kong,85737.0,134700.0,30225
Hungria,0.0,0.0,30225
Ilha de Man,134.0,166.0,30225
India,592.0,980.0,30225
Indonêsia,0.0,0.0,30225
Iraque,0.0,0.0,30225
Irlanda,3728.0,5977.0,30225
Irã,155.0,290.0,30225
Israel,37100.0,92194.0,30225
Itália,107094.0,256863.0,30225
Iugoslâvia,0.0,0.0,30225
Jamaica,0.0,0.0,30225
Japão,38218050.0,99465734.0,30225
Libêria,4194.0,5335.0,30225
Luxemburgo,154.0,453.0,30225
Líbano,14889.0,23950.0,30225
Líbia,846315.0,1104532.0,30225
Malta,5096.0,7131.0,30225
Malásia,128790.0,342425.0,30225
"Marshall, Ilhas",11072.0,15757.0,30225
Mauritânia,0.0,0.0,30225
Montenegro,12.0,12.0,30225
Moçambique,477.0,441.0,30225
México,760152.0,2395872.0,30225
Mônaco,36.0,37.0,30225
Namíbia,0.0,0.0,30225
Nigéria,1560.0,2486.0,30225
Noruega,4253.0,10324.0,30225
Nova Caledônia,924.0,1095.0,30225
Nova Zelândia,47166.0,116752.0,30225
Panamá,11532.0,18476.0,30225
Paquistão,390.0,462.0,30225
Paraguai,1508771.0,1950504.0,30225
Países Baixos,206538.0,532330.0,30225
Peru,84833.0,223527.0,30225
Polônia,379.0,1708.0,30225
Porto Rico,976215.0,2383507.0,30225
Portugal,476650.0,397838.0,30225
Quênia,8.0,4.0,30225
Reino Unido,35098.0,68403.0,30225
República Centro Africana,0.0,0.0,30225
República Dominicana,407136.0,1364274.0,30225
República Federativa da Rússia,0.0,0.0,30225
Rússia,96.0,120.0,30225
Senegal,0.0,0.0,30225
Serra Leoa,12.0,13.0,30225
Singapura,6995.0,19008.0,30225
Sri Lanka,49.0,142.0,30225
Suriname,181855.0,636748.0,30225
Suécia,0.0,0.0,30225
Suíça,1006.0,2239.0,30225
São Tomé e Príncipe,120.0,442.0,30225
Tailândia,33020.0,179632.0,30225
Taiwan (Formosa),165759.0,356404.0,30225
Tanzânia,0.0,0.0,30225
"Tcheca, República",2741.0,7689.0,30225
Togo,1351.0,1045.0,30225
Trinidade e Tobago,210061.0,728726.0,30225
Turquia,180.0,184.0,30225
Uruguai,1803.0,4858.0,30225
Vanuatu,24.0,17.0,30225
Venezuela,942223.0,2941010.0,30225
África do Sul,38083.0,56077.0,30225
Áustria,0.0,0.0,30225
