,pais,quantidade,valor,ano,origem
0,África do Sul,0.0,0.0,2008,Brasil
1,África do Sul,0.0,0.0,2009,Brasil
2,África do Sul,0.0,0.0,2010,Brasil
3,África do Sul,0.0,0.0,2011,Brasil
4,África do Sul,3739.0,6324.0,2012,Brasil
5,África do Sul,0.0,0.0,2013,Brasil
6,África do Sul,0.0,0.0,2014,Brasil
7,África do Sul,0.0,0.0,2015,Brasil
8,África do Sul,0.0,0.0,2016,Brasil
9,África do Sul,0.0,0.0,2017,Brasil
10,África do Sul,0.0,0.0,2018,Brasil
11,África do Sul,0.0,0.0,2019,Brasil
12,África do Sul,0.0,0.0,2020,Brasil
13,África do Sul,0.0,0.0,2021,Brasil
14,África do Sul,34344.0,49753.0,2022,Brasil
15,Alemanha,0.0,0.0,2008,Brasil
16,Alemanha,0.0,0.0,2009,Brasil
17,Alemanha,0.0,0.0,2010,Brasil
18,Alemanha,0.0,0.0,2011,Brasil
19,Alemanha,1.0,1.0,2012,Brasil
20,Alemanha,4.0,5.0,2013,Brasil
21,Alemanha,38480.0,23268.0,2014,Brasil
22,Alemanha,6.0,6.0,2015,Brasil
23,Alemanha,0.0,0.0,2016,Brasil
24,Alemanha,0.0,0.0,2017,Brasil
25,Alemanha,96.0,91.0,2018,Brasil
26,Alemanha,12.0,24.0,2019,Brasil
27,Alemanha,86.0,44.0,2020,Brasil
28,Alemanha,13.0,4.0,2021,Brasil
29,Alemanha,5.0,24.0,2022,Brasil
30,Angola,63263.0,61246.0,2008,Brasil
31,Angola,237494.0,191270.0,2009,Brasil
32,Angola,6413.0,8108.0,2010,Brasil
33,Angola,0.0,0.0,2011,Brasil
34,Angola,0.0,0.0,2012,Brasil
35,Angola,5001.0,21599.0,2013,Brasil
36,Angola,1200.0,2880.0,2014,Brasil
37,Angola,1378.0,1739.0,2015,Brasil
38,Angola,5961.0,10771.0,2016,Brasil
39,Angola,160.0,1185.0,2017,Brasil
40,Angola,1895.0,1553.0,2018,Brasil
41,Angola,0.0,0.0,2019,Brasil
42,Angola,17766.0,21627.0,2020,Brasil
43,Angola,6073.0,5915.0,2021,Brasil
44,Angola,86536.0,91839.0,2022,Brasil
