pais,quantidade,valor,ano
Africa do Sul,15352.0,32312.0,30225
Alemanha,26207957.0,53255246.0,30225
Angola,64000.0,203124.0,30225
Antígua e Barbuda,1249.0,4105.0,30225
Arabia Saudita,353651.0,739217.0,30225
Argentina,19368214.0,36162625.0,30225
Argélia,20672.0,30968.0,30225
Bahamas,38224.0,91557.0,30225
Bahrein,0.0,0.0,30225
Bangladesh,160.0,586.0,30225
Barbados,551.0,1607.0,30225
Barein,1828.0,6350.0,30225
Belize,212.0,420.0,30225
Bermudas,937.0,3575.0,30225
Bolívia,662537.0,352638.0,30225
Bosnia,499.0,539.0,30225
Brasil,197.0,502.0,30225
Bulgária,100.0,170.0,30225
Burquina Faso,10.0,37.0,30225
Bélgica,7056870.0,16849937.0,30225
Cabo Verde,10.0,29.0,30225
Camarões,50.0,149.0,30225
Camores,30.0,109.0,30225
Canadá,5966911.0,18399080.0,30225
Catar,7160.0,19402.0,30225
"Cayman, Ilhas",1267.0,4174.0,30225
Chile,634.0,27828.0,30225
China,5417.0,19263.0,30225
Chipre,10451.0,27002.0,30225
Cingapura,15719.0,58580.0,30225
"Cocos (Keeling), Ilhas",32.0,55.0,30225
Colombia,38.0,107.0,30225
Congo,20.0,54.0,30225
Coreia do Norte,30.0,119.0,30225
Coreia do Sul,937.0,2282.0,30225
Costa do Marfim,16.0,34.0,30225
Coveite,28855.0,106643.0,30225
Croácia,46.0,157.0,30225
Curaçao,10.0,16.0,30225
Dinamarca,1753236.0,4504287.0,30225
Djibuti,25.0,41.0,30225
Egito,40.0,173.0,30225
Emirados Árabes,7203263.0,18637908.0,30225
Eslovenia,20.0,59.0,30225
Espanha,11575616.0,22011545.0,30225
Estados Unidos,115076981.0,273767301.0,30225
Falkland (Ilhas Malvinas),160.0,410.0,30225
"Faroé, Ilhas",25.0,98.0,30225
Filipinas,17512.0,26823.0,30225
Finlândia,957503.0,2709807.0,30225
França,5956.0,32413.0,30225
Gabão,20.0,53.0,30225
Gana,100.0,280.0,30225
Georgia,26928.0,56010.0,30225
Gibraltar,866.0,2475.0,30225
Grêcia,13473.0,34425.0,30225
Guadalupe,15300.0,34850.0,30225
Guiana,8450.0,24319.0,30225
Guiana Francesa,64.0,362.0,30225
Guine Equatorial,7199.0,39269.0,30225
Honduras,10.0,33.0,30225
Hong Kong,77670.0,518971.0,30225
Ilha de Man,688.0,2231.0,30225
Ilhas Virgens,0.0,0.0,30225
Indonésia,53.0,143.0,30225
Irlanda,6574484.0,15974510.0,30225
Irã,1027.0,2207.0,30225
Islandia,25040.0,57107.0,30225
Itália,656369.0,2082453.0,30225
Japão,2592.0,7825.0,30225
Jordânia,336.0,362.0,30225
Jérsei,24.0,58.0,30225
Letonia,32490.0,87010.0,30225
Libéria,41541.0,134085.0,30225
Lituania,1060039.0,2310034.0,30225
Luxemburgo,5796.0,18328.0,30225
Líbano,143.0,361.0,30225
Líbia,40.0,99.0,30225
Malasia,3344.0,44835.0,30225
Malta,18276.0,54570.0,30225
Marrocos,38.0,122.0,30225
"Marshall, Ilhas",52252.0,166965.0,30225
Martinica,0.0,0.0,30225
Mauricio,0.0,0.0,30225
Mauritânia,16.0,63.0,30225
Mexico,0.0,0.0,30225
Mongólia,10.0,15.0,30225
Montenegro,73.0,256.0,30225
Mônaco,40.0,88.0,30225
Nigéria,61200.0,82620.0,30225
Noruega,11276826.0,30671397.0,30225
Omã,203.0,738.0,30225
Panamá,40578.0,120071.0,30225
Paquistão,98.0,314.0,30225
Paraguai,6782.0,8225.0,30225
Países Baixos,342833780.0,703092167.0,30225
Polonia,206.0,555.0,30225
Porto Rico,0.0,0.0,30225
Portugal,33604.0,64668.0,30225
Reino Unido,173742074.0,395084153.0,30225
Republica Dominicana,0.0,0.0,30225
Romênia,13194830.0,28569808.0,30225
Rússia,2853261.0,6090348.0,30225
Samoa Americana,8.0,18.0,30225
Senegal,10.0,30.0,30225
Serra Leoa,1.0,4.0,30225
Singapura,34750.0,280607.0,30225
Sri Lanka,32.0,80.0,30225
Suriname,25.0,62.0,30225
Suécia,3207899.0,7875929.0,30225
Suíça,9638.0,99542.0,30225
São Tomé e Principe,0.0,0.0,30225
São Vicente e Granadinas,92.0,310.0,30225
Tailândia,3311.0,13332.0,30225
Taiwan,241.0,760.0,30225
Togo,13.0,52.0,30225
Trindade e Tobago,0.0,0.0,30225
"Turcas e Caicos, ilhas",28.0,74.0,30225
Turquia,1820.0,5026.0,30225
Tuvalu,7.0,26.0,30225
Uruguai,1157202.0,2080141.0,30225
Vanuatu,179.0,450.0,30225
Venezuela,0.0,0.0,30225
Vietnã,188.0,631.0,30225
Áustria,0.0,0.0,30225
Índia,2374.0,6081.0,30225
