,pais,quantidade,valor,ano,origem
0,Africa do Sul,0.0,0.0,2008,Brasil
1,Africa do Sul,15300.0,32130.0,2009,Brasil
2,Africa do Sul,0.0,0.0,2010,Brasil
3,Africa do Sul,0.0,0.0,2011,Brasil
4,Africa do Sul,0.0,0.0,2012,Brasil
5,Africa do Sul,0.0,0.0,2013,Brasil
6,Africa do Sul,0.0,0.0,2014,Brasil
7,Africa do Sul,0.0,0.0,2015,Brasil
8,Africa do Sul,0.0,0.0,2016,Brasil
9,Africa do Sul,0.0,0.0,2017,Brasil
10,Africa do Sul,0.0,0.0,2018,Brasil
11,Africa do Sul,8.0,30.0,2019,Brasil
12,Africa do Sul,44.0,152.0,2020,Brasil
13,Africa do Sul,0.0,0.0,2021,Brasil
14,Africa do Sul,0.0,0.0,2022,Brasil
15,Alemanha,1297991.0,2693071.0,2008,Brasil
16,Alemanha,759594.0,1475757.0,2009,Brasil
17,Alemanha,713942.0,1437429.0,2010,Brasil
18,Alemanha,1167243.0,2430345.0,2011,Brasil
19,Alemanha,1021075.0,2064845.0,2012,Brasil
20,Alemanha,2457655.0,5316776.0,2013,Brasil
21,Alemanha,1649514.0,3524291.0,2014,Brasil
22,Alemanha,3277187.0,6532957.0,2015,Brasil
23,Alemanha,2384112.0,5161080.0,2016,Brasil
24,Alemanha,3353831.0,6730502.0,2017,Brasil
25,Alemanha,2870420.0,5833592.0,2018,Brasil
26,Alemanha,1863097.0,3480290.0,2019,Brasil
27,Alemanha,1371694.0,2791556.0,2020,Brasil
28,Alemanha,1461590.0,2569452.0,2021,Brasil
29,Alemanha,559012.0,1213303.0,2022,Brasil
30,Angola,33860.0,90396.0,2008,Brasil
31,Angola,29700.0,110058.0,2009,Brasil
32,Angola,0.0,0.0,2010,Brasil
33,Angola,0.0,0.0,2011,Brasil
34,Angola,350.0,2492.0,2012,Brasil
35,Angola,0.0,0.0,2013,Brasil
36,Angola,0.0,0.0,2014,Brasil
37,Angola,0.0,0.0,2015,Brasil
38,Angola,0.0,0.0,2016,Brasil
39,Angola,0.0,0.0,2017,Brasil
40,Angola,15.0,33.0,2018,Brasil
41,Angola,75.0,145.0,2019,Brasil
42,Angola,0.0,0.0,2020,Brasil
43,Angola,0.0,0.0,2021,Brasil
44,Angola,0.0,0.0,2022,Brasil
45,Antígua e Barbuda,0.0,0.0,2008,Brasil
46,Antígua e Barbuda,0.0,0.0,2009,Brasil
47,Antígua e Barbuda,0.0,0.0,2010,Brasil
48,Antígua e Barbuda,0.0,0.0,2011,Brasil
