pais,quantidade,valor,ano
Afeganistão,11.0,46.0,30225
Alemanha,909051.0,2546394.0,30225
Angola,168868.0,576189.0,30225
Anguilla,0.0,0.0,30225
Antilhas Holandesas,97002.0,142915.0,30225
Antígua e Barbuda,2104.0,7738.0,30225
Argentina,51012.0,221684.0,30225
Aruba,1350.0,2435.0,30225
Austrália,274654.0,469248.0,30225
Bahamas,14101.0,76628.0,30225
Bangladesh,12.0,133.0,30225
Barbados,615.0,2552.0,30225
Barein,1771.0,5855.0,30225
Belice,9.0,29.0,30225
Benin,15399.0,37765.0,30225
Bolívia,204421.0,290118.0,30225
Brasil,2535.0,998.0,30225
Bulgária,122.0,1610.0,30225
Bélgica,402667.0,1395226.0,30225
Bósnia-Herzegovina,45.0,52.0,30225
Cabo Verde,12625.0,50363.0,30225
Camarões,1749.0,7654.0,30225
Canadá,195491.0,1097417.0,30225
Catar,13339.0,81608.0,30225
"Cayman, Ilhas",425.0,1962.0,30225
Chile,23205.0,70572.0,30225
China,2509458.0,4746525.0,30225
Chipre,6805.0,18096.0,30225
Cingapura,27567.0,90610.0,30225
"Cocos (Keeling), Ilhas",26.0,60.0,30225
Colômbia,43886.0,88017.0,30225
Comores,9.0,25.0,30225
Congo,360.0,570.0,30225
"Coreia, Republica Sul",3965.0,15479.0,30225
Costa Rica,55.0,200.0,30225
Costa do Marfim,0.0,0.0,30225
Croácia,55.0,607.0,30225
Cuba,271044.0,304612.0,30225
Curaçao,191119.0,320683.0,30225
Dinamarca,78104.0,375575.0,30225
Dominica,1945.0,2857.0,30225
El Salvador,55.0,100.0,30225
Emirados Árabes,17312.0,144843.0,30225
Equador,3917.0,4037.0,30225
"Eslovaca, Republica",585.0,16063.0,30225
Espanha,1993000.0,3808552.0,30225
Estados Unidos,3563355.0,9684567.0,30225
Estônia,30071.0,90830.0,30225
Filipinas,14222.0,31397.0,30225
Finlândia,86763.0,537432.0,30225
França,317553.0,720359.0,30225
Gana,102178.0,139681.0,30225
Gibraltar,792.0,2953.0,30225
Granada,5610.0,7914.0,30225
Grécia,9480.0,26256.0,30225
Guatemala,20247.0,43189.0,30225
Guiana,6633.0,19890.0,30225
Guiana Francesa,112.0,50.0,30225
Guine Bissau,48.0,90.0,30225
Guine Equatorial,20684.0,81903.0,30225
Haiti,1791603.0,2327208.0,30225
Honduras,176.0,610.0,30225
Hong Kong,149132.0,453894.0,30225
Hungria,627.0,4686.0,30225
Ilha de Man,301.0,1382.0,30225
Ilhas Virgens,0.0,0.0,30225
India,318.0,1390.0,30225
Indonésia,5.0,6.0,30225
Iraque,0.0,0.0,30225
Irlanda,16970.0,104717.0,30225
Irã,184.0,412.0,30225
Itália,25597.0,141298.0,30225
Jamaica,0.0,0.0,30225
Japão,1181692.0,2377716.0,30225
Jordânia,12.0,52.0,30225
Letônia,387.0,3723.0,30225
Libéria,26953.0,98667.0,30225
Luxemburgo,66541.0,369934.0,30225
Líbano,0.0,0.0,30225
Malta,14222.0,50749.0,30225
Malásia,63.0,143.0,30225
"Marshall, Ilhas",30353.0,87600.0,30225
Mauritânia,9.0,85.0,30225
Montenegro,32.0,131.0,30225
Moçambique,383.0,1927.0,30225
México,6326.0,43837.0,30225
Namibia,340.0,722.0,30225
Nicaragua,24.0,24.0,30225
Nigéria,161641.0,258460.0,30225
Noruega,34355.0,262452.0,30225
Nova Caledônia,7227.0,11924.0,30225
Nova Zelândia,14030.0,75209.0,30225
Omã,194.0,670.0,30225
Panamá,62156.0,162516.0,30225
Paraguai,29214770.0,38719031.0,30225
Países Baixos,1236154.0,3791611.0,30225
Peru,24668.0,53789.0,30225
Polônia,154475.0,611080.0,30225
Porto Rico,0.0,0.0,30225
Portugal,419586.0,581419.0,30225
Quênia,8311.0,33767.0,30225
Reino Unido,1239551.0,4711464.0,30225
República Dominicana,0.0,0.0,30225
Rússia,39029799.0,25504484.0,30225
Senegal,0.0,0.0,30225
Serra Leoa,23884.0,41904.0,30225
Singapura,8826.0,29780.0,30225
Suazilândia,10.0,24.0,30225
Suriname,27101.0,46390.0,30225
Suécia,98535.0,348397.0,30225
Suíça,152894.0,906264.0,30225
São Tomé e Príncipe,2184.0,2357.0,30225
São Vicente e Granadinas,28.0,99.0,30225
Tailândia,2436.0,6872.0,30225
Taiwan (FORMOSA),76106.0,277050.0,30225
Tanzânia,0.0,0.0,30225
"Tcheca, República",66529.0,356395.0,30225
Togo,24367.0,35420.0,30225
Trinidade Tobago,891.0,4320.0,30225
Tunísia,0.0,0.0,30225
Turquia,1236.0,1740.0,30225
Tuvalu,2.0,4.0,30225
Uruguai,792595.0,1219878.0,30225
Vanuatu,18.0,31.0,30225
Venezuela,55515.0,88828.0,30225
Vietnã,9799.0,13013.0,30225
África do Sul,30.0,116.0,30225
Áustria,681.0,5432.0,30225
