,pais,quantidade,valor,ano,origem
0,Afeganistão,0.0,0.0,2008,Brasil
1,Afeganistão,0.0,0.0,2009,Brasil
2,Afeganistão,0.0,0.0,2010,Brasil
3,Afeganistão,0.0,0.0,2011,Brasil
4,Afeganistão,0.0,0.0,2012,Brasil
5,Afeganistão,0.0,0.0,2013,Brasil
6,Afeganistão,0.0,0.0,2014,Brasil
7,Afeganistão,0.0,0.0,2015,Brasil
8,Afeganistão,0.0,0.0,2016,Brasil
9,Afeganistão,0.0,0.0,2017,Brasil
10,Afeganistão,0.0,0.0,2018,Brasil
11,Afeganistão,0.0,0.0,2019,Brasil
12,Afeganistão,0.0,0.0,2020,Brasil
13,Afeganistão,11.0,46.0,2021,Brasil
14,Afeganistão,0.0,0.0,2022,Brasil
15,África do Sul,0.0,0.0,2008,Brasil
16,África do Sul,0.0,0.0,2009,Brasil
17,África do Sul,0.0,0.0,2010,Brasil
18,África do Sul,0.0,0.0,2011,Brasil
19,África do Sul,0.0,0.0,2012,Brasil
20,África do Sul,0.0,0.0,2013,Brasil
21,África do Sul,0.0,0.0,2014,Brasil
22,África do Sul,0.0,0.0,2015,Brasil
23,África do Sul,0.0,0.0,2016,Brasil
24,África do Sul,0.0,0.0,2017,Brasil
25,África do Sul,0.0,0.0,2018,Brasil
26,África do Sul,26.0,95.0,2019,Brasil
27,África do Sul,4.0,21.0,2020,Brasil
28,África do Sul,0.0,0.0,2021,Brasil
29,África do Sul,0.0,0.0,2022,Brasil
30,Alemanha,265742.0,429970.0,2008,Brasil
31,Alemanha,225086.0,393482.0,2009,Brasil
32,Alemanha,27715.0,138666.0,2010,Brasil
33,Alemanha,36070.0,144150.0,2011,Brasil
34,Alemanha,8189.0,56342.0,2012,Brasil
35,Alemanha,61699.0,265978.0,2013,Brasil
36,Alemanha,213348.0,761653.0,2014,Brasil
37,Alemanha,10680.0,44780.0,2015,Brasil
38,Alemanha,14012.0,68109.0,2016,Brasil
39,Alemanha,15467.0,87702.0,2017,Brasil
40,Alemanha,10794.0,45382.0,2018,Brasil
41,Alemanha,3660.0,25467.0,2019,Brasil
42,Alemanha,6261.0,32605.0,2020,Brasil
43,Alemanha,2698.0,6741.0,2021,Brasil
44,Alemanha,7630.0,45367.0,2022,Brasil
45,Angola,25721.0,71083.0,2008,Brasil
46,Angola,54786.0,84235.0,2009,Brasil
47,Angola,33557.0,189891.0,2010,Brasil
48,Angola,13889.0,69001.0,2011,Brasil
49,Angola,2833.0,8861.0,2012,Brasil
50,Angola,1573.0,9300.0,2013,Brasil
51,Angola,12182.0,23124.0,2014,Brasil
52,Angola,1908.0,17089.0,2015,Brasil
53,Angola,7359.0,35390.0,2016,Brasil
54,Angola,10170.0,61680.0,2017,Brasil
55,Angola,477.0,709.0,2018,Brasil
56,Angola,345.0,1065.0,2019,Brasil
57,Angola,0.0,0.0,2020,Brasil
58,Angola,0.0,0.0,2021,Brasil
